date,product,demand,price,day_of_week,month,is_weekend,promotion
2010-01-04,Accessories & Fashion,1060,1.97,0,1,0,0
2010-01-05,Accessories & Fashion,863,2.62,1,1,0,0
2010-01-06,Accessories & Fashion,389,2.6,2,1,0,0
2010-01-07,Accessories & Fashion,2937,2.75,3,1,0,0
2010-01-08,Accessories & Fashion,855,2.92,4,1,0,0
2010-01-09,Accessories & Fashion,0,2.92,5,1,1,0
2010-01-10,Accessories & Fashion,563,2.98,6,1,1,0
2010-01-11,Accessories & Fashion,1635,3.58,0,1,0,0
2010-01-12,Accessories & Fashion,1249,3.06,1,1,0,0
2010-01-13,Accessories & Fashion,802,3.71,2,1,0,0
2010-01-14,Accessories & Fashion,1251,3.08,3,1,0,0
2010-01-15,Accessories & Fashion,584,3.12,4,1,0,0
2010-01-16,Accessories & Fashion,0,3.12,5,1,1,0
2010-01-17,Accessories & Fashion,561,2.5,6,1,1,0
2010-01-18,Accessories & Fashion,508,3.3,0,1,0,0
2010-01-19,Accessories & Fashion,1261,3.71,1,1,0,0
2010-01-20,Accessories & Fashion,383,2.97,2,1,0,0
2010-01-21,Accessories & Fashion,531,3.18,3,1,0,0
2010-01-22,Accessories & Fashion,736,3.36,4,1,0,0
2010-01-23,Accessories & Fashion,0,3.36,5,1,1,0
2010-01-24,Accessories & Fashion,246,3.01,6,1,1,0
2010-01-25,Accessories & Fashion,412,3.65,0,1,0,0
2010-01-26,Accessories & Fashion,933,3.51,1,1,0,0
2010-01-27,Accessories & Fashion,900,3.63,2,1,0,0
2010-01-28,Accessories & Fashion,497,3.45,3,1,0,0
2010-01-29,Accessories & Fashion,563,3.91,4,1,0,0
2010-01-30,Accessories & Fashion,0,3.91,5,1,1,0
2010-01-31,Accessories & Fashion,327,2.64,6,1,1,0
2010-02-01,Accessories & Fashion,503,3.07,0,2,0,0
2010-02-02,Accessories & Fashion,675,3.91,1,2,0,0
2010-02-03,Accessories & Fashion,487,3.24,2,2,0,0
2010-02-04,Accessories & Fashion,387,2.9,3,2,0,0
2010-02-05,Accessories & Fashion,746,2.83,4,2,0,0
2010-02-06,Accessories & Fashion,0,2.83,5,2,1,0
2010-02-07,Accessories & Fashion,1140,2.76,6,2,1,0
2010-02-08,Accessories & Fashion,334,3.1,0,2,0,0
2010-02-09,Accessories & Fashion,772,3.38,1,2,0,0
2010-02-10,Accessories & Fashion,115,3.96,2,2,0,0
2010-02-11,Accessories & Fashion,618,3.76,3,2,0,0
2010-02-12,Accessories & Fashion,386,3.92,4,2,0,0
2010-02-13,Accessories & Fashion,0,3.92,5,2,1,0
2010-02-14,Accessories & Fashion,319,3.41,6,2,1,0
2010-02-15,Accessories & Fashion,5996,2.32,0,2,0,1
2010-02-16,Accessories & Fashion,1024,3.27,1,2,0,0
2010-02-17,Accessories & Fashion,1202,2.13,2,2,0,0
2010-02-18,Accessories & Fashion,583,2.65,3,2,0,0
2010-02-19,Accessories & Fashion,507,3.01,4,2,0,0
2010-02-20,Accessories & Fashion,0,3.01,5,2,1,0
2010-02-21,Accessories & Fashion,590,3.26,6,2,1,0
2010-02-22,Accessories & Fashion,490,4.4,0,2,0,0
2010-02-23,Accessories & Fashion,1145,2.91,1,2,0,0
2010-02-24,Accessories & Fashion,608,2.51,2,2,0,0
2010-02-25,Accessories & Fashion,1275,2.73,3,2,0,0
2010-02-26,Accessories & Fashion,485,3.14,4,2,0,0
2010-02-27,Accessories & Fashion,0,3.14,5,2,1,0
2010-02-28,Accessories & Fashion,379,3.09,6,2,1,0
2010-03-01,Accessories & Fashion,477,3.42,0,3,0,0
2010-03-02,Accessories & Fashion,689,3.91,1,3,0,0
2010-03-03,Accessories & Fashion,582,3.03,2,3,0,0
2010-03-04,Accessories & Fashion,1192,2.95,3,3,0,0
2010-03-05,Accessories & Fashion,1351,3.54,4,3,0,0
2010-03-06,Accessories & Fashion,0,3.54,5,3,1,0
2010-03-07,Accessories & Fashion,602,3.47,6,3,1,0
2010-03-08,Accessories & Fashion,875,3.61,0,3,0,0
2010-03-09,Accessories & Fashion,621,3.0,1,3,0,0
2010-03-10,Accessories & Fashion,933,2.57,2,3,0,0
2010-03-11,Accessories & Fashion,191,2.77,3,3,0,0
2010-03-12,Accessories & Fashion,334,3.16,4,3,0,0
2010-03-13,Accessories & Fashion,0,3.16,5,3,1,0
2010-03-14,Accessories & Fashion,306,2.34,6,3,1,0
2010-03-15,Accessories & Fashion,501,3.68,0,3,0,0
2010-03-16,Accessories & Fashion,659,2.5,1,3,0,0
2010-03-17,Accessories & Fashion,806,2.21,2,3,0,0
2010-03-18,Accessories & Fashion,2142,3.2,3,3,0,0
2010-03-19,Accessories & Fashion,869,3.12,4,3,0,0
2010-03-20,Accessories & Fashion,0,3.12,5,3,1,0
2010-03-21,Accessories & Fashion,630,2.97,6,3,1,0
2010-03-22,Accessories & Fashion,427,3.3,0,3,0,0
2010-03-23,Accessories & Fashion,11593,2.84,1,3,0,1
2010-03-24,Accessories & Fashion,860,3.0,2,3,0,0
2010-03-25,Accessories & Fashion,1574,2.63,3,3,0,0
2010-03-26,Accessories & Fashion,1725,3.26,4,3,0,0
2010-03-27,Accessories & Fashion,0,3.26,5,3,1,0
2010-03-28,Accessories & Fashion,617,2.97,6,3,1,0
2010-03-29,Accessories & Fashion,807,3.01,0,3,0,0
2010-03-30,Accessories & Fashion,1379,2.81,1,3,0,0
2010-03-31,Accessories & Fashion,717,3.19,2,3,0,0
2010-04-01,Accessories & Fashion,2029,2.47,3,4,0,0
2010-04-02,Accessories & Fashion,0,2.47,4,4,0,0
2010-04-03,Accessories & Fashion,0,2.47,5,4,1,0
2010-04-04,Accessories & Fashion,0,2.47,6,4,1,0
2010-04-05,Accessories & Fashion,0,2.47,0,4,0,0
2010-04-06,Accessories & Fashion,450,2.45,1,4,0,0
2010-04-07,Accessories & Fashion,733,3.37,2,4,0,0
2010-04-08,Accessories & Fashion,1755,2.74,3,4,0,0
2010-04-09,Accessories & Fashion,265,3.27,4,4,0,0
2010-04-10,Accessories & Fashion,0,3.27,5,4,1,0
2010-04-11,Accessories & Fashion,606,2.12,6,4,1,0
2010-04-12,Accessories & Fashion,900,2.22,0,4,0,0
2010-04-13,Accessories & Fashion,425,2.52,1,4,0,0
2010-04-14,Accessories & Fashion,653,2.51,2,4,0,0
2010-04-15,Accessories & Fashion,937,2.46,3,4,0,0
2010-04-16,Accessories & Fashion,407,2.3,4,4,0,0
2010-04-17,Accessories & Fashion,0,2.3,5,4,1,0
2010-04-18,Accessories & Fashion,1041,3.31,6,4,1,0
2010-04-19,Accessories & Fashion,1095,4.16,0,4,0,0
2010-04-20,Accessories & Fashion,1085,3.01,1,4,0,0
2010-04-21,Accessories & Fashion,960,3.54,2,4,0,0
2010-04-22,Accessories & Fashion,1707,2.71,3,4,0,0
2010-04-23,Accessories & Fashion,607,3.04,4,4,0,0
2010-04-24,Accessories & Fashion,0,3.04,5,4,1,0
2010-04-25,Accessories & Fashion,448,2.69,6,4,1,0
2010-04-26,Accessories & Fashion,2598,4.45,0,4,0,0
2010-04-27,Accessories & Fashion,1361,2.71,1,4,0,0
2010-04-28,Accessories & Fashion,1125,2.48,2,4,0,0
2010-04-29,Accessories & Fashion,1756,3.15,3,4,0,0
2010-04-30,Accessories & Fashion,1475,2.69,4,4,0,0
2010-05-01,Accessories & Fashion,0,2.69,5,5,1,0
2010-05-02,Accessories & Fashion,267,2.49,6,5,1,0
2010-05-03,Accessories & Fashion,0,2.49,0,5,0,0
2010-05-04,Accessories & Fashion,512,3.43,1,5,0,0
2010-05-05,Accessories & Fashion,1734,3.02,2,5,0,0
2010-05-06,Accessories & Fashion,1185,3.46,3,5,0,0
2010-05-07,Accessories & Fashion,1377,2.8,4,5,0,0
2010-05-08,Accessories & Fashion,0,2.8,5,5,1,0
2010-05-09,Accessories & Fashion,541,2.85,6,5,1,0
2010-05-10,Accessories & Fashion,967,3.23,0,5,0,0
2010-05-11,Accessories & Fashion,2345,2.99,1,5,0,0
2010-05-12,Accessories & Fashion,1941,2.89,2,5,0,0
2010-05-13,Accessories & Fashion,420,3.7,3,5,0,0
2010-05-14,Accessories & Fashion,2736,2.57,4,5,0,0
2010-05-15,Accessories & Fashion,0,2.57,5,5,1,0
2010-05-16,Accessories & Fashion,807,2.72,6,5,1,0
2010-05-17,Accessories & Fashion,697,2.87,0,5,0,0
2010-05-18,Accessories & Fashion,623,3.0,1,5,0,0
2010-05-19,Accessories & Fashion,577,4.16,2,5,0,0
2010-05-20,Accessories & Fashion,847,2.82,3,5,0,0
2010-05-21,Accessories & Fashion,710,3.98,4,5,0,0
2010-05-22,Accessories & Fashion,0,3.98,5,5,1,0
2010-05-23,Accessories & Fashion,713,2.79,6,5,1,0
2010-05-24,Accessories & Fashion,867,2.93,0,5,0,0
2010-05-25,Accessories & Fashion,805,3.53,1,5,0,0
2010-05-26,Accessories & Fashion,1523,3.27,2,5,0,0
2010-05-27,Accessories & Fashion,783,3.05,3,5,0,0
2010-05-28,Accessories & Fashion,918,3.42,4,5,0,0
2010-05-29,Accessories & Fashion,0,3.42,5,5,1,0
2010-05-30,Accessories & Fashion,503,3.06,6,5,1,0
2010-05-31,Accessories & Fashion,0,3.06,0,5,0,0
2010-06-01,Accessories & Fashion,763,3.52,1,6,0,0
2010-06-02,Accessories & Fashion,764,3.11,2,6,0,0
2010-06-03,Accessories & Fashion,1399,3.73,3,6,0,0
2010-06-04,Accessories & Fashion,339,4.64,4,6,0,0
2010-06-05,Accessories & Fashion,0,4.64,5,6,1,0
2010-06-06,Accessories & Fashion,448,3.02,6,6,1,0
2010-06-07,Accessories & Fashion,1628,3.22,0,6,0,0
2010-06-08,Accessories & Fashion,786,3.66,1,6,0,0
2010-06-09,Accessories & Fashion,1224,3.22,2,6,0,0
2010-06-10,Accessories & Fashion,486,2.54,3,6,0,0
2010-06-11,Accessories & Fashion,1192,3.14,4,6,0,0
2010-06-12,Accessories & Fashion,0,3.14,5,6,1,0
2010-06-13,Accessories & Fashion,886,3.06,6,6,1,0
2010-06-14,Accessories & Fashion,658,3.39,0,6,0,0
2010-06-15,Accessories & Fashion,716,3.17,1,6,0,0
2010-06-16,Accessories & Fashion,621,3.28,2,6,0,0
2010-06-17,Accessories & Fashion,486,3.63,3,6,0,0
2010-06-18,Accessories & Fashion,615,2.57,4,6,0,0
2010-06-19,Accessories & Fashion,0,2.57,5,6,1,0
2010-06-20,Accessories & Fashion,257,2.94,6,6,1,0
2010-06-21,Accessories & Fashion,736,2.97,0,6,0,0
2010-06-22,Accessories & Fashion,581,3.34,1,6,0,0
2010-06-23,Accessories & Fashion,1934,2.74,2,6,0,0
2010-06-24,Accessories & Fashion,809,4.32,3,6,0,0
2010-06-25,Accessories & Fashion,590,3.48,4,6,0,0
2010-06-26,Accessories & Fashion,0,3.48,5,6,1,0
2010-06-27,Accessories & Fashion,808,2.82,6,6,1,0
2010-06-28,Accessories & Fashion,2144,2.96,0,6,0,0
2010-06-29,Accessories & Fashion,3481,2.75,1,6,0,1
2010-06-30,Accessories & Fashion,1321,3.24,2,6,0,0
2010-07-01,Accessories & Fashion,776,3.14,3,7,0,0
2010-07-02,Accessories & Fashion,370,2.97,4,7,0,0
2010-07-03,Accessories & Fashion,0,2.97,5,7,1,0
2010-07-04,Accessories & Fashion,326,3.29,6,7,1,0
2010-07-05,Accessories & Fashion,1518,2.57,0,7,0,0
2010-07-06,Accessories & Fashion,760,3.34,1,7,0,0
2010-07-07,Accessories & Fashion,790,3.72,2,7,0,0
2010-07-08,Accessories & Fashion,578,3.08,3,7,0,0
2010-07-09,Accessories & Fashion,534,2.99,4,7,0,0
2010-07-10,Accessories & Fashion,0,2.99,5,7,1,0
2010-07-11,Accessories & Fashion,122,3.36,6,7,1,0
2010-07-12,Accessories & Fashion,650,2.92,0,7,0,0
2010-07-13,Accessories & Fashion,690,3.35,1,7,0,0
2010-07-14,Accessories & Fashion,990,3.48,2,7,0,0
2010-07-15,Accessories & Fashion,881,2.66,3,7,0,0
2010-07-16,Accessories & Fashion,741,3.46,4,7,0,0
2010-07-17,Accessories & Fashion,0,3.46,5,7,1,0
2010-07-18,Accessories & Fashion,545,2.75,6,7,1,0
2010-07-19,Accessories & Fashion,668,2.99,0,7,0,0
2010-07-20,Accessories & Fashion,1187,2.44,1,7,0,0
2010-07-21,Accessories & Fashion,1563,2.63,2,7,0,0
2010-07-22,Accessories & Fashion,714,3.19,3,7,0,0
2010-07-23,Accessories & Fashion,1083,2.63,4,7,0,0
2010-07-24,Accessories & Fashion,0,2.63,5,7,1,0
2010-07-25,Accessories & Fashion,289,2.19,6,7,1,0
2010-07-26,Accessories & Fashion,844,3.74,0,7,0,0
2010-07-27,Accessories & Fashion,525,2.45,1,7,0,0
2010-07-28,Accessories & Fashion,531,3.35,2,7,0,0
2010-07-29,Accessories & Fashion,811,3.49,3,7,0,0
2010-07-30,Accessories & Fashion,570,2.73,4,7,0,0
2010-07-31,Accessories & Fashion,0,2.73,5,7,1,0
2010-08-01,Accessories & Fashion,372,2.5,6,8,1,0
2010-08-02,Accessories & Fashion,568,2.67,0,8,0,0
2010-08-03,Accessories & Fashion,1437,3.34,1,8,0,0
2010-08-04,Accessories & Fashion,972,2.91,2,8,0,0
2010-08-05,Accessories & Fashion,976,2.32,3,8,0,0
2010-08-06,Accessories & Fashion,311,3.11,4,8,0,0
2010-08-07,Accessories & Fashion,0,3.11,5,8,1,0
2010-08-08,Accessories & Fashion,417,2.5,6,8,1,0
2010-08-09,Accessories & Fashion,8844,2.71,0,8,0,1
2010-08-10,Accessories & Fashion,1085,3.42,1,8,0,0
2010-08-11,Accessories & Fashion,433,3.3,2,8,0,0
2010-08-12,Accessories & Fashion,940,3.05,3,8,0,0
2010-08-13,Accessories & Fashion,1245,3.66,4,8,0,0
2010-08-14,Accessories & Fashion,0,3.66,5,8,1,0
2010-08-15,Accessories & Fashion,2130,2.1,6,8,1,0
2010-08-16,Accessories & Fashion,438,3.1,0,8,0,0
2010-08-17,Accessories & Fashion,1036,2.66,1,8,0,0
2010-08-18,Accessories & Fashion,1069,3.86,2,8,0,0
2010-08-19,Accessories & Fashion,1466,2.66,3,8,0,0
2010-08-20,Accessories & Fashion,766,3.34,4,8,0,0
2010-08-21,Accessories & Fashion,0,3.34,5,8,1,0
2010-08-22,Accessories & Fashion,868,2.19,6,8,1,0
2010-08-23,Accessories & Fashion,1090,2.45,0,8,0,0
2010-08-24,Accessories & Fashion,1275,2.92,1,8,0,0
2010-08-25,Accessories & Fashion,912,2.72,2,8,0,0
2010-08-26,Accessories & Fashion,874,4.32,3,8,0,0
2010-08-27,Accessories & Fashion,346,3.32,4,8,0,0
2010-08-28,Accessories & Fashion,0,3.32,5,8,1,0
2010-08-29,Accessories & Fashion,334,2.38,6,8,1,0
2010-08-30,Accessories & Fashion,0,2.38,0,8,0,0
2010-08-31,Accessories & Fashion,808,3.26,1,8,0,0
2010-09-01,Accessories & Fashion,690,2.91,2,9,0,0
2010-09-02,Accessories & Fashion,1150,3.13,3,9,0,0
2010-09-03,Accessories & Fashion,13865,2.94,4,9,0,1
2010-09-04,Accessories & Fashion,0,2.94,5,9,1,0
2010-09-05,Accessories & Fashion,526,2.21,6,9,1,0
2010-09-06,Accessories & Fashion,2075,2.89,0,9,0,0
2010-09-07,Accessories & Fashion,2075,3.29,1,9,0,0
2010-09-08,Accessories & Fashion,707,2.78,2,9,0,0
2010-09-09,Accessories & Fashion,868,2.81,3,9,0,0
2010-09-10,Accessories & Fashion,593,2.52,4,9,0,0
2010-09-11,Accessories & Fashion,0,2.52,5,9,1,0
2010-09-12,Accessories & Fashion,414,2.09,6,9,1,0
2010-09-13,Accessories & Fashion,1427,3.19,0,9,0,0
2010-09-14,Accessories & Fashion,804,2.55,1,9,0,0
2010-09-15,Accessories & Fashion,758,3.06,2,9,0,0
2010-09-16,Accessories & Fashion,908,2.45,3,9,0,0
2010-09-17,Accessories & Fashion,438,3.52,4,9,0,0
2010-09-18,Accessories & Fashion,0,3.52,5,9,1,0
2010-09-19,Accessories & Fashion,479,1.81,6,9,1,0
2010-09-20,Accessories & Fashion,1328,3.49,0,9,0,0
2010-09-21,Accessories & Fashion,2526,2.4,1,9,0,0
2010-09-22,Accessories & Fashion,394,3.78,2,9,0,0
2010-09-23,Accessories & Fashion,765,2.32,3,9,0,0
2010-09-24,Accessories & Fashion,776,2.7,4,9,0,0
2010-09-25,Accessories & Fashion,0,2.7,5,9,1,0
2010-09-26,Accessories & Fashion,1269,2.11,6,9,1,0
2010-09-27,Accessories & Fashion,9135,3.2,0,9,0,1
2010-09-28,Accessories & Fashion,785,3.12,1,9,0,0
2010-09-29,Accessories & Fashion,1112,2.65,2,9,0,0
2010-09-30,Accessories & Fashion,1482,3.03,3,9,0,0
2010-10-01,Accessories & Fashion,641,3.14,4,10,0,0
2010-10-02,Accessories & Fashion,0,3.14,5,10,1,0
2010-10-03,Accessories & Fashion,966,2.39,6,10,1,0
2010-10-04,Accessories & Fashion,1569,2.94,0,10,0,0
2010-10-05,Accessories & Fashion,1916,2.43,1,10,0,0
2010-10-06,Accessories & Fashion,1335,2.27,2,10,0,0
2010-10-07,Accessories & Fashion,1361,2.68,3,10,0,0
2010-10-08,Accessories & Fashion,7148,2.85,4,10,0,1
2010-10-09,Accessories & Fashion,0,2.85,5,10,1,0
2010-10-10,Accessories & Fashion,656,2.82,6,10,1,0
2010-10-11,Accessories & Fashion,2352,2.85,0,10,0,0
2010-10-12,Accessories & Fashion,2144,2.62,1,10,0,0
2010-10-13,Accessories & Fashion,1935,2.48,2,10,0,0
2010-10-14,Accessories & Fashion,3900,2.6,3,10,0,1
2010-10-15,Accessories & Fashion,1698,2.69,4,10,0,0
2010-10-16,Accessories & Fashion,0,2.69,5,10,1,0
2010-10-17,Accessories & Fashion,901,2.3,6,10,1,0
2010-10-18,Accessories & Fashion,1450,2.49,0,10,0,0
2010-10-19,Accessories & Fashion,1067,3.14,1,10,0,0
2010-10-20,Accessories & Fashion,1192,2.52,2,10,0,0
2010-10-21,Accessories & Fashion,687,4.07,3,10,0,0
2010-10-22,Accessories & Fashion,976,3.1,4,10,0,0
2010-10-23,Accessories & Fashion,0,3.1,5,10,1,0
2010-10-24,Accessories & Fashion,734,3.56,6,10,1,0
2010-10-25,Accessories & Fashion,515,2.78,0,10,0,0
2010-10-26,Accessories & Fashion,1444,2.3,1,10,0,0
2010-10-27,Accessories & Fashion,591,2.47,2,10,0,0
2010-10-28,Accessories & Fashion,542,3.49,3,10,0,0
2010-10-29,Accessories & Fashion,912,3.0,4,10,0,0
2010-10-30,Accessories & Fashion,0,3.0,5,10,1,0
2010-10-31,Accessories & Fashion,678,2.24,6,10,1,0
2010-11-01,Accessories & Fashion,526,3.14,0,11,0,0
2010-11-02,Accessories & Fashion,988,3.03,1,11,0,0
2010-11-03,Accessories & Fashion,1037,2.49,2,11,0,0
2010-11-04,Accessories & Fashion,9871,2.58,3,11,0,1
2010-11-05,Accessories & Fashion,1419,3.26,4,11,0,0
2010-11-06,Accessories & Fashion,0,3.26,5,11,1,0
2010-11-07,Accessories & Fashion,1050,1.89,6,11,1,0
2010-11-08,Accessories & Fashion,1621,2.69,0,11,0,0
2010-11-09,Accessories & Fashion,1753,2.68,1,11,0,0
2010-11-10,Accessories & Fashion,1378,3.46,2,11,0,0
2010-11-11,Accessories & Fashion,4744,2.78,3,11,0,1
2010-11-12,Accessories & Fashion,1070,2.74,4,11,0,0
2010-11-13,Accessories & Fashion,0,2.74,5,11,1,0
2010-11-14,Accessories & Fashion,987,2.44,6,11,1,0
2010-11-15,Accessories & Fashion,3060,3.24,0,11,0,0
2010-11-16,Accessories & Fashion,2097,2.8,1,11,0,0
2010-11-17,Accessories & Fashion,2055,2.83,2,11,0,0
2010-11-18,Accessories & Fashion,817,2.57,3,11,0,0
2010-11-19,Accessories & Fashion,855,2.72,4,11,0,0
2010-11-20,Accessories & Fashion,0,2.72,5,11,1,0
2010-11-21,Accessories & Fashion,1288,2.2,6,11,1,0
2010-11-22,Accessories & Fashion,662,3.2,0,11,0,0
2010-11-23,Accessories & Fashion,986,2.77,1,11,0,0
2010-11-24,Accessories & Fashion,2709,3.61,2,11,0,0
2010-11-25,Accessories & Fashion,1463,2.48,3,11,0,0
2010-11-26,Accessories & Fashion,1033,3.02,4,11,0,0
2010-11-27,Accessories & Fashion,0,3.02,5,11,1,0
2010-11-28,Accessories & Fashion,585,3.57,6,11,1,0
2010-11-29,Accessories & Fashion,1637,2.92,0,11,0,0
2010-11-30,Accessories & Fashion,1370,2.49,1,11,0,0
2010-12-01,Accessories & Fashion,2436,3.15,2,12,0,0
2010-12-02,Accessories & Fashion,2802,3.04,3,12,0,0
2010-12-03,Accessories & Fashion,1618,3.36,4,12,0,0
2010-12-04,Accessories & Fashion,0,3.36,5,12,1,0
2010-12-05,Accessories & Fashion,2454,2.6,6,12,1,0
2010-12-06,Accessories & Fashion,1936,3.36,0,12,0,0
2010-12-07,Accessories & Fashion,2078,3.21,1,12,0,0
2010-12-08,Accessories & Fashion,3520,2.68,2,12,0,1
2010-12-09,Accessories & Fashion,1248,3.18,3,12,0,0
2010-12-10,Accessories & Fashion,1342,3.27,4,12,0,0
2010-12-11,Accessories & Fashion,0,3.27,5,12,1,0
2010-12-12,Accessories & Fashion,251,2.6,6,12,1,0
2010-12-13,Accessories & Fashion,763,3.54,0,12,0,0
2010-12-14,Accessories & Fashion,1002,2.95,1,12,0,0
2010-12-15,Accessories & Fashion,819,2.69,2,12,0,0
2010-12-16,Accessories & Fashion,1273,3.0,3,12,0,0
2010-12-17,Accessories & Fashion,609,3.97,4,12,0,0
2010-12-18,Accessories & Fashion,0,3.97,5,12,1,0
2010-12-19,Accessories & Fashion,43,3.77,6,12,1,0
2010-12-20,Accessories & Fashion,532,3.46,0,12,0,0
2010-12-21,Accessories & Fashion,796,4.73,1,12,0,0
2010-12-22,Accessories & Fashion,278,3.01,2,12,0,0
2010-12-23,Accessories & Fashion,337,2.99,3,12,0,0
2010-12-24,Accessories & Fashion,0,2.99,4,12,0,0
2010-12-25,Accessories & Fashion,0,2.99,5,12,1,0
2010-12-26,Accessories & Fashion,0,2.99,6,12,1,0
2010-12-27,Accessories & Fashion,0,2.99,0,12,0,0
2010-12-28,Accessories & Fashion,0,2.99,1,12,0,0
2010-12-29,Accessories & Fashion,0,2.99,2,12,0,0
2010-12-30,Accessories & Fashion,0,2.99,3,12,0,0
2010-12-31,Accessories & Fashion,0,2.99,4,12,0,0
2011-01-01,Accessories & Fashion,0,2.99,5,1,1,0
2011-01-02,Accessories & Fashion,0,2.99,6,1,1,0
2011-01-03,Accessories & Fashion,0,2.99,0,1,0,0
2011-01-04,Accessories & Fashion,566,2.6,1,1,0,0
2011-01-05,Accessories & Fashion,2118,2.78,2,1,0,0
2011-01-06,Accessories & Fashion,1340,2.74,3,1,0,0
2011-01-07,Accessories & Fashion,1899,3.03,4,1,0,0
2011-01-08,Accessories & Fashion,0,3.03,5,1,1,0
2011-01-09,Accessories & Fashion,495,2.73,6,1,1,0
2011-01-10,Accessories & Fashion,839,2.84,0,1,0,0
2011-01-11,Accessories & Fashion,1017,2.61,1,1,0,0
2011-01-12,Accessories & Fashion,523,3.26,2,1,0,0
2011-01-13,Accessories & Fashion,1077,2.97,3,1,0,0
2011-01-14,Accessories & Fashion,945,3.49,4,1,0,0
2011-01-15,Accessories & Fashion,0,3.49,5,1,1,0
2011-01-16,Accessories & Fashion,232,1.9,6,1,1,0
2011-01-17,Accessories & Fashion,812,2.96,0,1,0,0
2011-01-18,Accessories & Fashion,1424,2.69,1,1,0,0
2011-01-19,Accessories & Fashion,678,2.33,2,1,0,0
2011-01-20,Accessories & Fashion,718,2.55,3,1,0,0
2011-01-21,Accessories & Fashion,1168,3.29,4,1,0,0
2011-01-22,Accessories & Fashion,0,3.29,5,1,1,0
2011-01-23,Accessories & Fashion,405,3.43,6,1,1,0
2011-01-24,Accessories & Fashion,727,3.41,0,1,0,0
2011-01-25,Accessories & Fashion,1534,2.5,1,1,0,0
2011-01-26,Accessories & Fashion,1754,3.91,2,1,0,0
2011-01-27,Accessories & Fashion,589,2.73,3,1,0,0
2011-01-28,Accessories & Fashion,360,3.25,4,1,0,0
2011-01-29,Accessories & Fashion,0,3.25,5,1,1,0
2011-01-30,Accessories & Fashion,238,1.96,6,1,1,0
2011-01-31,Accessories & Fashion,603,2.99,0,1,0,0
2011-02-01,Accessories & Fashion,638,2.82,1,2,0,0
2011-02-02,Accessories & Fashion,756,3.37,2,2,0,0
2011-02-03,Accessories & Fashion,751,2.28,3,2,0,0
2011-02-04,Accessories & Fashion,845,4.74,4,2,0,0
2011-02-05,Accessories & Fashion,0,4.74,5,2,1,0
2011-02-06,Accessories & Fashion,218,2.57,6,2,1,0
2011-02-07,Accessories & Fashion,395,2.98,0,2,0,0
2011-02-08,Accessories & Fashion,414,2.87,1,2,0,0
2011-02-09,Accessories & Fashion,257,3.5,2,2,0,0
2011-02-10,Accessories & Fashion,1499,2.48,3,2,0,0
2011-02-11,Accessories & Fashion,534,3.45,4,2,0,0
2011-02-12,Accessories & Fashion,0,3.45,5,2,1,0
2011-02-13,Accessories & Fashion,86,1.87,6,2,1,0
2011-02-14,Accessories & Fashion,2004,2.99,0,2,0,0
2011-02-15,Accessories & Fashion,725,2.57,1,2,0,0
2011-02-16,Accessories & Fashion,537,2.51,2,2,0,0
2011-02-17,Accessories & Fashion,623,3.3,3,2,0,0
2011-02-18,Accessories & Fashion,649,2.77,4,2,0,0
